[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.SlicedEggplant: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.CocktailGlassSmoothie: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.BeverageSmoothie: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Mug_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.MugWhite_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.MugRed_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.MugSpiffo_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.PlasticCup_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Falafel_Uncooked: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Falafel_Fried: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.SapphCooking.SmashBurger: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_White: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Green: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Pink: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Blue: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Purple: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Yellow: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Orange: displaycategory, FoodP.
[22-09-24 15:13:17.260] LOG  : General     , 1727010797260> 0> SapphCooking.Popsicle_Red: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Spice_PestoBowl: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Sausage_PigBlanket: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Tanghulu: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.CakeSlice_NianGao: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Cake_NianGao: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.BottleofJuice: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Corn_Cob: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Corn_CobEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Pretzel: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Pretzel_Tray: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.SapphDoughnut_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.SapphDoughnutChocolate_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Eclair_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Eclair_Chocolate_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.261] LOG  : General     , 1727010797261> 0> SapphCooking.Eclair_WhiteChocolate_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.Wokpan_BaconandEggs: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.LettuceWrap: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.LettuceWrap_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakePrep_Chocolate: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakePrep_Carrot: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakePrep_RedVelvet: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakePrep_BlackForestCake: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakePrep_StrawberryCake: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_BlackForestCake: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_Chocolate: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_Carrot: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_Strawberry: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_RedVelvet: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRaw_Birthday: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.Cake_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeChocolate_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeCarrot_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.262] LOG  : General     , 1727010797262> 0> SapphCooking.CakeRedVelvet_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.CakeBlackForest_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.CakeStrawberry_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.CakeBirthday_Candle: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Parmesan_CheeseWheel: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Blue_CheeseWheel: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.BlueCheese: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Truffle: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.MozzarelaSticks: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.BakingTray_MacaronCookies1: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.BakingTray_MacaronCookies2: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.BakingTray_MacaronCookies3: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.BakingTray_MacaronCookies4: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Macaron_Cookies_Pink: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Macaron_Cookies_Red: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Macaron_Cookies_Blue: displaycategory, FoodP.
[22-09-24 15:13:17.263] LOG  : General     , 1727010797263> 0> SapphCooking.Macaron_Cookies_Green: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Cookies_Yellow: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Cookies_Purple: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Pink: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Red: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Blue: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Green: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Yellow: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.Macaron_Purple: displaycategory, FoodP.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.SapphTortillaChips: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.CanolaOil: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.PeanutOil: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.AvocadoOil: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.FryBatter: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.CoconutOil: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.CanofKernelCorn: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.OpenCanofKernelCorn: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.ChickenBroth: displaycategory, FoodN.
[22-09-24 15:13:17.264] LOG  : General     , 1727010797264> 0> SapphCooking.BeefBroth: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797264> 0> SapphCooking.BucketofFriedBird: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.CannedBread: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.BucketofPopcorn: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.BagofFlourTortillas: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.CutTortilla: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.BowlofNachos: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.TortillaChipsinGuacamole: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.TortillaChipsinRefriedBeans: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.TortillaChipsinQueso: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.CanofPowderedMilk: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.CanofProteinPowder: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.BrownRice: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.WhiteChocolate: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.BagofSeaweed: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.ProteinBar: displaycategory, FoodN.
[22-09-24 15:13:17.265] LOG  : General     , 1727010797265> 0> SapphCooking.PastaDough: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.CandyCigarette: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.RolledPastaDough: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.BucketofCandyPopcorn: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.GranulatedSugar: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.VegetableBroth: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.PastaSheets: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.CanofRefriedBeans: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.CannedSausages: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.SaltPacket: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.SugarPacket: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.HotsaucePacket: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.CoffeePacket: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Lemon: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Orange: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Apple: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Grape: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Pineapple: displaycategory, FoodN.
[22-09-24 15:13:17.266] LOG  : General     , 1727010797266> 0> SapphCooking.Drinkmix_Strawberry: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.Drinkmix_Peach: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.Drinkmix_Watermelon: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_FlamelessRationHeater: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_BeefStewUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_CheeseTortelliniUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_ChiliwBeansUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_LasagnaUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_MeatballsinSauceUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_OmeletwHamUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_PorkwRiceUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_SpaguettiUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_SausageswGravyUn: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack1: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack2: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack3: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack4: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack5: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack6: displaycategory, FoodN.
[22-09-24 15:13:17.267] LOG  : General     , 1727010797267> 0> SapphCooking.MRE_Pack7: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_Pack8: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_Pack9: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_Pack10: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_Pack11: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_Pack12: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_InChickenStrogonoffUn: displaycategory, FoodN.
[22-09-24 15:13:17.268] LOG  : General     , 1727010797268> 0> SapphCooking.MRE_InBeefStrogonoffUn: displaycategory, FoodN.
