[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.SweetJuice: DisplayCategory, FoodN.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.TortillaChips: DisplayCategory, FoodN.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.BakingTray_Muffin: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.CannedBroccoli: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.FishRoe: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.MuttonChop: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.EggPoached: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.SackProduce_Cherry: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.PanFriedVegetables: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.CinnamonRoll: DisplayCategory, FoodN.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.HomemadeCarrotsOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Dried_Watermelon: DisplayCategory, FoodN.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Zucchini: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.BigSalt: DisplayCategory, FoodN.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Daikon: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Pike: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Sausage: DisplayCategory, FoodP.
[01-10-24 21:04:00.361] LOG  : General     , 1727809440361> 0> Base.Sliced_Peach: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Crisps3: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Crisps2: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Crisps4: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.CannedFruitBeverageOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Big_RawPorkFillet: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.TinnedSoup: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.HomemadeCabbageOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.OatsRaw: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.CannedBellPepper: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.SackProduce_Potato: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Allsorts: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.CannedPeachesOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.JamFruit_Grape: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.VinegarBrewReady: DisplayCategory, FoodN.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.Gravy: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.BerryPoisonIvy: DisplayCategory, FoodP.
[01-10-24 21:04:00.362] LOG  : General     , 1727809440362> 0> Base.CookiesChocolate: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.PanFriedVegetables2: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.Prepared_BaitFish: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.DriedChickpeas: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.HomemadeTomatoes: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.GranolaBar: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.SaucePan_BlackberryJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.EggBoiled: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.Edamame: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.Big_Energybar: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.HiHis: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.BurritoRecipe: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.SackProduce_Corn: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.BeefJerky: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.DeadSquirrel: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.CakeBlackForest: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.DeadMouse: DisplayCategory, FoodP.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.Big_ChickenJerky: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.JamFruit_Apple: DisplayCategory, FoodN.
[01-10-24 21:04:00.363] LOG  : General     , 1727809440363> 0> Base.CannedCarrots: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.CandyCorn: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.BioGasRefineryWorking: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.Big_PucariCan: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.ChickenFried: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.Catfish: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.DriedSplitPeas: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.JarPickle_Onion: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.SWortEthanol: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.Oysters: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.CannedCarrotsOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.ChocoCakes: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.CannedCornedBeef: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.OnionRings: DisplayCategory, FoodP.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.DehydratedMeatStick: DisplayCategory, FoodN.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.Big_PetEmpty: DisplayCategory, Container.
[01-10-24 21:04:00.364] LOG  : General     , 1727809440364> 0> Base.Mango: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.SackProduce_Peach: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.SaucePan_Uncook_BlackberryJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.FriedOnionRings: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.SackProduce_Pear: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.DoughnutPlain: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Milk: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Springroll: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Prepared_Shrimp: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Pancakes: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.IcecreamMelted: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Newspaper: DisplayCategory, LitE.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Big_Juice_GrapeJuice: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Dried_Lemon: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Dried_Blueberry: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.LicoriceRed: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.CornFrozen: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.VodkaBrewWorking: DisplayCategory, FoodP.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Chives: DisplayCategory, FoodN.
[01-10-24 21:04:00.365] LOG  : General     , 1727809440365> 0> Base.Burrito: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Big_Molotov_Wine2: DisplayCategory, WepBomb.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Big_Molotov_Wine1: DisplayCategory, WepBomb.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.WatermelonSliced: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.FakeBook: DisplayCategory, LitE.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.BandedWoolyBearCaterpillar: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.CannedCarrots2: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.PotatoPancakes: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Gum: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Nettles: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.TacoRecipe: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Cilantro: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Pie: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.PiePrep: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.ConeIcecreamToppings: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Crisps: DisplayCategory, FoodN.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Prepared_Squid: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.BellPepper: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.CannedPineappleOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.366] LOG  : General     , 1727809440366> 0> Base.Cherry: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.BigYeast: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Big_PorkJerky: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Maggots2: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.JarPickle_Onion_Ready: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.CookiesOatmealDough: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.HamSlice: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.SpoonVodka: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.CannedFruitCocktailOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Maki: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Cornbread: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Pineapple: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.SunflowerSeeds: DisplayCategory, FoodN.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Ham: DisplayCategory, FoodP.
[01-10-24 21:04:00.367] LOG  : General     , 1727809440367> 0> Base.Big_CiderPetFull: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Pumpkin: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.DoughnutChocolate: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Big_WaterPetFull: DisplayCategory, FoodB.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Big_RawMuttonFillet: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.HardCandies: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.CannedChiliOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.ShrimpFried: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.SalamiSlice: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Icecream: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.SaucePan_AppleJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Bass: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.BagelPoppy: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Pickles: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Cricket: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.CheeseSandwich: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Dogfood: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Worm: DisplayCategory, FoodN.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.SackProduce_Carrot: DisplayCategory, FoodP.
[01-10-24 21:04:00.368] LOG  : General     , 1727809440368> 0> Base.Lollipop: DisplayCategory, FoodN.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.SmokedMeatPre: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.Rosehips: DisplayCategory, FoodN.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.SWortVinegar: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.SaucePan_Uncook_StrawberryJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.RamenBowl: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.Sliced_Radish: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.OpenBeans: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.Crappie: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.SmokedMeat: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.Croissant: DisplayCategory, FoodP.
[01-10-24 21:04:00.369] LOG  : General     , 1727809440369> 0> Base.JamFruit: DisplayCategory, FoodN.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Panfish: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.PotOfSoup: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.LicoriceBlack: DisplayCategory, FoodN.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.EggScrambled: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Snail: DisplayCategory, FoodN.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.SteakSlice: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.DriedLentils: DisplayCategory, FoodN.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Tofu: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Sliced_Grapefruit: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Hotdog: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Rice: DisplayCategory, FoodN.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.PieBlueberry: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.DryBerry: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.PiePumpkin: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Smallanimalmeat: DisplayCategory, FoodP.
[01-10-24 21:04:00.370] LOG  : General     , 1727809440370> 0> Base.Prepared_PepperHabanero: DisplayCategory, FoodP.
[01-10-24 21:04:00.371] LOG  : General     , 1727809440371> 0> Base.Beverage2: DisplayCategory, FoodN.
[01-10-24 21:04:00.371] LOG  : General     , 1727809440371> 0> Base.SaucePan_Uncook_GrapeJam: DisplayCategory, FoodN.
