[24-09-24 16:29:04.625] LOG  : General     , 1727188144625> 0> HuntingMod.HMDeadTurkey: DisplayCategory, FoodP.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.RadioUpgradeMag2: DisplayCategory, LitR.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.ManualTV: DisplayCategory, LitR.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.CircuitDiagramHamRadio: DisplayCategory, LitW.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.RadioUpgradeMag1: DisplayCategory, LitR.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.ElectronicsDismantleMagazine: DisplayCategory, LitR.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.CircuitDiagramWalkieTalkie: DisplayCategory, LitW.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV2: DisplayCategory, WepBomb.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV3: DisplayCategory, WepBomb.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV1: DisplayCategory, WepBomb.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.CircuitDiagramRadio: DisplayCategory, LitW.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.CircuitDiagramAmplifier: DisplayCategory, LitW.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> LWBetterElectronics.ManualMotionSensor: DisplayCategory, LitR.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> KCMweapons.TheSniperGuide: DisplayCategory, LitS.
[24-09-24 16:29:04.636] LOG  : General     , 1727188144636> 0> KCMweapons.TheUltimateHuntingGuide1: DisplayCategory, LitS.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> KCMweapons.TheUltimateHuntingGuide2: DisplayCategory, LitS.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> KCMweapons.WeaponHandlersReloaded: DisplayCategory, LitS.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> KCMweapons.DoomsdayPreppers2: DisplayCategory, LitR.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> KCMweapons.DoomsdayPreppers1: DisplayCategory, LitR.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> MREM.MRE: DisplayCategory, FoodN.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> OccupationsExpertises.BookNimble3: DisplayCategory, LitS.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> OccupationsExpertises.BerryMash: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> OccupationsExpertises.MushroomMash: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.DriedPear: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.PreppedTater: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.FermentingKentuckyKimchi: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.ReadyBerryWine: DisplayCategory, FoodN.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.FermentedKentuckyKimchi: DisplayCategory, FoodN.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.UndriedSmokedFish: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[24-09-24 16:29:04.637] LOG  : General     , 1727188144637> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[24-09-24 16:29:04.638] LOG  : General     , 1727188144638> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[24-09-24 16:29:04.639] LOG  : General     , 1727188144639> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.Pot_CheesePreparation: DisplayCategory, FoodP.
[24-09-24 16:29:04.640] LOG  : General     , 1727188144640> 0> SapphCooking.SaucepanwithMeltedWhiteChocolate: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.Wooden_CheeseMolds_Water: DisplayCategory, FoodB.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.Wooden_CheeseMoldsCurds: DisplayCategory, Container.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.WoodenSkewersInsect: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.VodkaWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.BakingTray_Gingerbread_Man: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.PipingBag_Icing: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.SaucepanWhiteChocolate: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.PlateFancy_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.CakeSlice_Carrot: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.Cured_EggYolk: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.CakeSlice_BlackForest: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.WoodenSkewersMarshmallows: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.Bowl_Sorbet: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.Bucket_CheeseCurds: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.PopBottlewithProteinShake: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.HomemadeSauce_Evolved: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.PlateBlue_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.BowlShavedIce: DisplayCategory, FoodN.
[24-09-24 16:29:04.641] LOG  : General     , 1727188144641> 0> SapphCooking.RumWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.CakeSlice_Birthday: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.BowlShavedIceEvolved: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.PipingBag_PastryCream: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.CakeSlice_Chocolate: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.InstantNoodles_Beef: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.FullWaterThermos: DisplayCategory, FoodB.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.CakeSlice_RedVelvet: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.TequilaEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.LiqueurEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.SaucepanHotChocolate: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.Pot_Cheese: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.CrackersEvolved: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.SaucepanwithArborioRice: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.ArrozConLecheBowl: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.BananaBread_Dough: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.WoodenSkewersMarshmallows_Melted: DisplayCategory, FoodN.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.Wooden_CheeseMoldsBlue: DisplayCategory, FoodP.
[24-09-24 16:29:04.642] LOG  : General     , 1727188144642> 0> SapphCooking.VodkaEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.BakingTray_Eclair: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.PlateOrange_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.WaterColaBottle: DisplayCategory, FoodB.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.CocktailMixerPrep: DisplayCategory, FoodN.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.ChurrosChocolateEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.MRE_InChickenStrogonoff: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.SakeWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.Bucket_CheeseBlue: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.CrabStick: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.SakeEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.Sapph_DoughnutChocolate: DisplayCategory, FoodN.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.BakingTray_Gingerbread_Wall: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.Bucket_Cheese: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.SmashBurger: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.Pot_CheeseBlue: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.IceTrayWater: DisplayCategory, FoodB.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.BowlofQueso: DisplayCategory, FoodP.
[24-09-24 16:29:04.643] LOG  : General     , 1727188144643> 0> SapphCooking.Pot_CheeseCurds: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.Saucepan_Custard_Cooked: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.GrahamCrackersEvolved: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.MochiPrep: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.CachacaEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.IceCubes: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.Stuffed_BellPepper: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.LowballGlassMoscowMule: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.LiqueurWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.Wooden_CheeseMoldsFull: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.GinWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.ChurrosPlainEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.WokPan_YakisobaEvolved: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.PoutineBowlEvolved: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.PackofCandyCigarretes: DisplayCategory, FoodN.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.Saucepan_InstantNoodles: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.CakeSlice_Strawberry: DisplayCategory, FoodP.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.CachacaWaterFull: DisplayCategory, FoodB.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.ColaBottleEmpty: DisplayCategory, Container.
[24-09-24 16:29:04.644] LOG  : General     , 1727188144644> 0> SapphCooking.Bowl_Puree: DisplayCategory, FoodP.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> SAPPHEATER.HeaterMag1: DisplayCategory, LitR.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> SAPPHEATER.HeaterMag2: DisplayCategory, LitR.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> SAPPHEATER.HeaterMag3: DisplayCategory, LitR.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.SFBeetPot: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.CoffeeGrainsCooked: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.CoffeeGrains: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.Cauliflower: DisplayCategory, FoodP.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.TeaLeaves: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.Beetroot: DisplayCategory, FoodP.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> filcher.SFBeetSyrupPot: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> TAD.BobTA_Arm_Wave_Two_Mag: DisplayCategory, LitR.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> TAD.OpenKosmotsars: DisplayCategory, FoodN.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> MoreTraits.ZombPatty: DisplayCategory, FoodP.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> USMIL.emptyWaterCan0: DisplayCategory, Container.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> USMIL.emptyGasCan0: DisplayCategory, Container.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> USMIL.WaterCan0: DisplayCategory, FoodB.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> WellsConstruction.WellsConstructionMag: DisplayCategory, LitR.
[24-09-24 16:29:04.645] LOG  : General     , 1727188144645> 0> --- BetterSorting End ---.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_M1_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_M1_Helmet_Ori: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_FAST_Opscore: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_PSGT_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_PSGT_Helmet_Camo: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_Gentex_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_HGU56: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Hat_HGU56_Visor: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Viper_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Wolf_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.Maska_1_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.6B6_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.1916_Helmet: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.1916_Helmet_ON: Insulation, 0.22499999403953552.
[24-09-24 16:29:04.646] LOG  : General     , 1727188144646> 0> Base.EOD_Helmet: Insulation, 0.22499999403953552.
