[24-09-24 20:42:28.763] LOG  : General     , 1727203348763> 0> FunctionalAppliances.FAPlasticCupStout: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadRaccoon: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadGoose: DisplayCategory, FoodP.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> HuntingMod.HMDeadElk: DisplayCategory, FoodP.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> HuntingMod.HMDeadDeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> HuntingMod.HMDeadOpossum: DisplayCategory, FoodP.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.ManualRemote: DisplayCategory, LitR.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.ManualANoisemakerV2: DisplayCategory, LitR.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.ManualANoisemakerV1: DisplayCategory, LitR.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerV2: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerV3: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV2: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerV1: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV3: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV1: DisplayCategory, WepBomb.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.Happymix: DisplayCategory, FoodN.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.Otternoses: DisplayCategory, FoodN.
[24-09-24 20:42:28.769] LOG  : General     , 1727203348769> 0> LWBetterElectronics.RemoteDoormotor: DisplayCategory, WepBomb.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348769> 0> LWBetterElectronics.YeenBeans: DisplayCategory, FoodN.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.RadioUpgradeMag3: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.RadioUpgradeMag2: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.ManualTV: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.CircuitDiagramHamRadio: DisplayCategory, LitW.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.RadioUpgradeMag1: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.ElectronicsDismantleMagazine: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.CircuitDiagramWalkieTalkie: DisplayCategory, LitW.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV2: DisplayCategory, WepBomb.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV3: DisplayCategory, WepBomb.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV1: DisplayCategory, WepBomb.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.CircuitDiagramRadio: DisplayCategory, LitW.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.CircuitDiagramAmplifier: DisplayCategory, LitW.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> LWBetterElectronics.ManualMotionSensor: DisplayCategory, LitR.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> KCMweapons.TheSniperGuide: DisplayCategory, LitS.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> KCMweapons.TheUltimateHuntingGuide1: DisplayCategory, LitS.
[24-09-24 20:42:28.770] LOG  : General     , 1727203348770> 0> KCMweapons.TheUltimateHuntingGuide2: DisplayCategory, LitS.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> KCMweapons.WeaponHandlersReloaded: DisplayCategory, LitS.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> KCMweapons.DoomsdayPreppers2: DisplayCategory, LitR.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> KCMweapons.DoomsdayPreppers1: DisplayCategory, LitR.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> MREM.MRE: DisplayCategory, FoodN.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> OccupationsExpertises.BookNimble3: DisplayCategory, LitS.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> OccupationsExpertises.BerryMash: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> OccupationsExpertises.MushroomMash: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.DriedPear: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.PreppedTater: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.FermentingKentuckyKimchi: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.ReadyBerryWine: DisplayCategory, FoodN.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.FermentedKentuckyKimchi: DisplayCategory, FoodN.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.UndriedSmokedFish: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[24-09-24 20:42:28.771] LOG  : General     , 1727203348771> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[24-09-24 20:42:28.772] LOG  : General     , 1727203348772> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[24-09-24 20:42:28.773] LOG  : General     , 1727203348773> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 20:42:28.774] LOG  : General     , 1727203348774> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Pot_CheesePreparation: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.SaucepanwithMeltedWhiteChocolate: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Wooden_CheeseMolds_Water: DisplayCategory, FoodB.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Wooden_CheeseMoldsCurds: DisplayCategory, Container.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.WoodenSkewersInsect: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.VodkaWaterFull: DisplayCategory, FoodB.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.BakingTray_Gingerbread_Man: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.PipingBag_Icing: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.SaucepanWhiteChocolate: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.PlateFancy_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.CakeSlice_Carrot: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Cured_EggYolk: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.CakeSlice_BlackForest: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.WoodenSkewersMarshmallows: DisplayCategory, FoodN.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Bowl_Sorbet: DisplayCategory, FoodP.
[24-09-24 20:42:28.775] LOG  : General     , 1727203348775> 0> SapphCooking.Bucket_CheeseCurds: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.PopBottlewithProteinShake: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.HomemadeSauce_Evolved: DisplayCategory, FoodN.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.PlateBlue_HuevosRancherosEvolved: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.BowlShavedIce: DisplayCategory, FoodN.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.RumWaterFull: DisplayCategory, FoodB.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.CakeSlice_Birthday: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.BowlShavedIceEvolved: DisplayCategory, FoodN.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.PipingBag_PastryCream: DisplayCategory, FoodN.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.CakeSlice_Chocolate: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.InstantNoodles_Beef: DisplayCategory, FoodN.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.FullWaterThermos: DisplayCategory, FoodB.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.CakeSlice_RedVelvet: DisplayCategory, FoodP.
[24-09-24 20:42:28.776] LOG  : General     , 1727203348776> 0> SapphCooking.TequilaEmpty: DisplayCategory, Container.
