[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.VinylBoneyMRasputin(1978): DisplayCategory, MediaA.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> ExtraBooks.EBBlunt1: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBBlunt2: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBBlunt3: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBStrength1: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBStrength4: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBStrength5: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBStrength2: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBStrength3: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBFitness1: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBFitness2: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBFitness3: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBFitness4: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBFitness5: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBSmallBlunt5: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBSmallBlunt4: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBSprinting2: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBSmallBlunt3: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBSprinting1: DisplayCategory, LitS.
[30-09-24 18:24:46.926] LOG  : General     , 1727713486926> 0> ExtraBooks.EBBlunt4: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBSmallBlunt2: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBBlunt5: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBSmallBlunt1: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBSprinting4: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBSprinting3: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBSprinting5: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBReloading4: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLongBlade2: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBReloading5: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLongBlade1: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLongBlade5: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLongBlade4: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLongBlade3: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBReloading1: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBReloading2: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBReloading3: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBLightfooted1: DisplayCategory, LitS.
[30-09-24 18:24:46.927] LOG  : General     , 1727713486927> 0> ExtraBooks.EBAxe5: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBAxe4: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBLightfooted5: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBAxe3: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBLightfooted4: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBAxe2: DisplayCategory, LitS.
[30-09-24 18:24:46.928] LOG  : General     , 1727713486928> 0> ExtraBooks.EBLightfooted3: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBAxe1: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBLightfooted2: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBMaintance3: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBMaintance4: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBMaintance1: DisplayCategory, LitS.
[30-09-24 18:24:46.929] LOG  : General     , 1727713486929> 0> ExtraBooks.EBMaintance2: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBMaintance5: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBNimble1: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBNimble2: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBNimble3: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBNimble4: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBNimble5: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSpear4: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSmallBlade3: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSpear5: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSmallBlade2: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSmallBlade5: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSneaking2: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSmallBlade4: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSneaking1: DisplayCategory, LitS.
[30-09-24 18:24:46.930] LOG  : General     , 1727713486930> 0> ExtraBooks.EBSmallBlade1: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBFirearm5: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBFirearm3: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBSneaking4: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBFirearm4: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBSpear1: DisplayCategory, LitS.
[30-09-24 18:24:46.931] LOG  : General     , 1727713486931> 0> ExtraBooks.EBSneaking3: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> ExtraBooks.EBFirearm1: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> ExtraBooks.EBSpear2: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> ExtraBooks.EBFirearm2: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> ExtraBooks.EBSpear3: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> ExtraBooks.EBSneaking5: DisplayCategory, LitS.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAFriedChickenTenders: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAFriedDoughboy: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FASwillerLiteBeerBottle: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAHotDrinkCappuccinoTeacup: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAHotDrinkEspressoRed: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAHotDrinkCappuccinoMugl: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAFriedChickenFillet: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAHotDrinkLatteWhite: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FABeerMugSwillerBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAPlasticCupSwillerBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FABeerMugPilsner: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAFountainCupRootBeerSoda: DisplayCategory, FoodP.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAHotDrinkLatteTeacup: DisplayCategory, FoodN.
[30-09-24 18:24:46.932] LOG  : General     , 1727713486932> 0> FunctionalAppliances.FAFountainCupCarbonatedWater: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAHotDrinkLatteRed: DisplayCategory, FoodN.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAPlasticCupAPA2: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAPlasticCupAPA1: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAHotDrinkCappuccinoWhite: DisplayCategory, FoodN.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAFountainCup: DisplayCategory, Container.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAFountainCupWater: DisplayCategory, FoodB.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAChickenFillet: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FABucketofPopcorn: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAPlasticCupIPA1: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAPlasticCupIPA2: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FABeerMugPorter: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FABeerMugWater: DisplayCategory, FoodB.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAFountainCupBerrySoda: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FABeerMugBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FASodaJerkMagazine: DisplayCategory, LitR.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAHotDrinkCoffeeWhite: DisplayCategory, FoodN.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAHotDrinkCoffeeSpiffo: DisplayCategory, FoodN.
[30-09-24 18:24:46.933] LOG  : General     , 1727713486933> 0> FunctionalAppliances.FAHotDrinkCoffeeMugl: DisplayCategory, FoodN.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FATheaterPopcorn: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAHotdog: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPlasticCupBubBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABeerMugAPA2: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPlasticCupStout: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABeerMugAPA1: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAFountainCupColaSoda: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABeerMug: DisplayCategory, Container.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAHotDrinkLatteSpiffo: DisplayCategory, FoodN.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABeerMugIPA1: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABeerMugIPA2: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPlasticCupSkunked: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAFountainCupLemonLimeSoda: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPlasticCupWater: DisplayCategory, FoodB.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FABatteredBloomingOnion: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAButteredPopcorn: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAPlasticCupPilsner: DisplayCategory, FoodP.
[30-09-24 18:24:46.934] LOG  : General     , 1727713486934> 0> FunctionalAppliances.FAHotDrinkTeaMugl: DisplayCategory, FoodN.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FAFriedBloomingOnion: DisplayCategory, FoodP.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FAHotDrinkTeaSpiffo: DisplayCategory, FoodN.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FAPlasticCup: DisplayCategory, Container.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FABeerMugBubBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FABeerMugAmericanLager: DisplayCategory, FoodP.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FAPlasticCupSwillerLiteBeer: DisplayCategory, FoodP.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FABubLiteBeerBottle: DisplayCategory, FoodN.
[30-09-24 18:24:46.935] LOG  : General     , 1727713486935> 0> FunctionalAppliances.FAHomeBrewBeerBottle: DisplayCategory, FoodN.
