[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.VinylMaxPayne: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteBonnieTylerTotalEclipseOfTheHeart(1983): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteOnABoat: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylBingCrosbyWinterWonderland(1945): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteBryanAdamsIDoItForYou(1991): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylBlondieHeartOfGlass(1976): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> Tsarcraft.VinylSoWhat: DisplayCategory, MediaA.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.RimSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.BodyworkSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.DoorSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.HoodSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.MufflerSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.BumperSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.TrunkLidSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.SeatSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> damnCraft.WindowSchematics: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> Handycraft.EnginePartsMag: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> Handycraft.Firewood: DisplayCategory, FoodN.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> dtitems.DTAngerBook5: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> dtitems.DTAngerBook4: DisplayCategory, LitR.
[28-09-24 23:40:58.899] LOG  : General     , 1727559658899> 0> dtitems.DTAngerBook1: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTBoredomBook2: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTAngerBook3: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTBoredomBook1: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTAngerBook2: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTBoredomBook4: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTBoredomBook3: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTBoredomBook5: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTStressBook2: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTUnhappynessBook5: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTStressBook1: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTStressBook4: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTUnhappynessBook3: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTStressBook3: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTUnhappynessBook4: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTUnhappynessBook1: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTUnhappynessBook2: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> dtitems.DTStressBook5: DisplayCategory, LitR.
[28-09-24 23:40:58.900] LOG  : General     , 1727559658900> 0> ExtraBooks.EBBlunt1: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBBlunt2: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBBlunt3: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBStrength1: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBStrength4: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBStrength5: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBStrength2: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBStrength3: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBFitness1: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBFitness2: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBFitness3: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBFitness4: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBFitness5: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBSmallBlunt5: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBSmallBlunt4: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBSprinting2: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBSmallBlunt3: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBSprinting1: DisplayCategory, LitS.
[28-09-24 23:40:58.901] LOG  : General     , 1727559658901> 0> ExtraBooks.EBBlunt4: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBSmallBlunt2: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBBlunt5: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBSmallBlunt1: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBSprinting4: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBSprinting3: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBSprinting5: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBReloading4: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLongBlade2: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBReloading5: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLongBlade1: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLongBlade5: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLongBlade4: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLongBlade3: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBReloading1: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBReloading2: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBReloading3: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBLightfooted1: DisplayCategory, LitS.
[28-09-24 23:40:58.902] LOG  : General     , 1727559658902> 0> ExtraBooks.EBAxe5: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBAxe4: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBLightfooted5: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBAxe3: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBLightfooted4: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBAxe2: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBLightfooted3: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBAxe1: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBLightfooted2: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBMaintance3: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBMaintance4: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBMaintance1: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBMaintance2: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBMaintance5: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBNimble1: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBNimble2: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBNimble3: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBNimble4: DisplayCategory, LitS.
[28-09-24 23:40:58.903] LOG  : General     , 1727559658903> 0> ExtraBooks.EBNimble5: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSpear4: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSmallBlade3: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSpear5: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSmallBlade2: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSmallBlade5: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSneaking2: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSmallBlade4: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSneaking1: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSmallBlade1: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBFirearm5: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBFirearm3: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSneaking4: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBFirearm4: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSpear1: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSneaking3: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBFirearm1: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSpear2: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBFirearm2: DisplayCategory, LitS.
[28-09-24 23:40:58.904] LOG  : General     , 1727559658904> 0> ExtraBooks.EBSpear3: DisplayCategory, LitS.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> ExtraBooks.EBSneaking5: DisplayCategory, LitS.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAFriedChickenTenders: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAFriedDoughboy: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FASwillerLiteBeerBottle: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkCappuccinoTeacup: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkEspressoRed: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkCappuccinoMugl: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAFriedChickenFillet: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkLatteWhite: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FABeerMugSwillerBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAPlasticCupSwillerBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FABeerMugPilsner: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAFountainCupRootBeerSoda: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkLatteTeacup: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAFountainCupCarbonatedWater: DisplayCategory, FoodP.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAHotDrinkLatteRed: DisplayCategory, FoodN.
[28-09-24 23:40:58.905] LOG  : General     , 1727559658905> 0> FunctionalAppliances.FAPlasticCupAPA2: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAPlasticCupAPA1: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAHotDrinkCappuccinoWhite: DisplayCategory, FoodN.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAFountainCup: DisplayCategory, Container.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAFountainCupWater: DisplayCategory, FoodB.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAChickenFillet: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FABucketofPopcorn: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAPlasticCupIPA1: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAPlasticCupIPA2: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FABeerMugPorter: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FABeerMugWater: DisplayCategory, FoodB.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAFountainCupBerrySoda: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FABeerMugBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FASodaJerkMagazine: DisplayCategory, LitR.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAHotDrinkCoffeeWhite: DisplayCategory, FoodN.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAHotDrinkCoffeeSpiffo: DisplayCategory, FoodN.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAHotDrinkCoffeeMugl: DisplayCategory, FoodN.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FATheaterPopcorn: DisplayCategory, FoodP.
[28-09-24 23:40:58.906] LOG  : General     , 1727559658906> 0> FunctionalAppliances.FAHotdog: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPlasticCupBubBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABeerMugAPA2: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPlasticCupStout: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABeerMugAPA1: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAFountainCupColaSoda: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABeerMug: DisplayCategory, Container.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAHotDrinkLatteSpiffo: DisplayCategory, FoodN.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABeerMugIPA1: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABeerMugIPA2: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPlasticCupSkunked: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAFountainCupLemonLimeSoda: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPlasticCupWater: DisplayCategory, FoodB.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FABatteredBloomingOnion: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAButteredPopcorn: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAPlasticCupPilsner: DisplayCategory, FoodP.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAHotDrinkTeaMugl: DisplayCategory, FoodN.
[28-09-24 23:40:58.907] LOG  : General     , 1727559658907> 0> FunctionalAppliances.FAFriedBloomingOnion: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAHotDrinkTeaSpiffo: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPlasticCup: DisplayCategory, Container.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABeerMugBubBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABeerMugAmericanLager: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPlasticCupSwillerLiteBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABubLiteBeerBottle: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAHomeBrewBeerBottle: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABeerMugStout: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPopBottleLemonLime: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABeerMugBubLiteBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAFriedPotatoSkins: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAHotDrinkCoffeeRed: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPopBottleRootBeer: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FABeerMugLightLager: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPlasticCupBubLiteBeer: DisplayCategory, FoodP.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAHotDrinkEspressoMugl: DisplayCategory, FoodN.
[28-09-24 23:40:58.908] LOG  : General     , 1727559658908> 0> FunctionalAppliances.FAPlasticCupBeer: DisplayCategory, FoodP.
