[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> Base.Master V2 Remote: displaycategory, Elec.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.GardeningSprayCigarettes: displaycategory, SurFarm.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.GardeningSprayMilk: displaycategory, SurFarm.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.SFGrainGrinder: displaycategory, Tool.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.SFCloth: displaycategory, Junk.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.SFClothDirty: displaycategory, Junk.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.TeaExtract: displaycategory, Cook.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Gloves_StripedLong: displaycategory, ClothArm.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Gloves_MilitaryFingerless: displaycategory, ClothArm.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_SheepWool: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_SheepWoolOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_PoliceArmor: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_PoliceArmorLong: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_Flight: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_FlightOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_FlightVest: displaycategory, ClothBody.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> Spongie.Jacket_FlightVestOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_Denim: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_DenimOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_WinterCoat: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_WinterCoatDOWN: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_Field: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_FieldOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_Bomber: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jacket_BomberOPEN: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.TShirt_Compression: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.TShirt_CompressionLong: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jumper_TurtleVest: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jumper_Military: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Jumper_MilitaryTIED: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Vest_Waterproof: displaycategory, ClothBody.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Shorts_Spandex: displaycategory, ClothLeg.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Spongie.Shorts_SpandexLong: displaycategory, ClothLeg.
[13-10-24 01:12:32.621] LOG  : General     , 1728774752621> 0> Agrotsar.AgrotsarMag: displaycategory, LitR.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Agrotsar.ASeederTankSmall: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Agrotsar.ASeederTankMedium: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Agrotsar.ASeederTankLarge: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Agrotsar.ASeederPlate: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Agrotsar.APlowshare: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.DivingMask: displaycategory, ClothHead.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.TaintedLiterature: displaycategory, Junk.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.Compass: displaycategory, Tool.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.DeflatedTireTube: displaycategory, Tool.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.Lifebuoy: displaycategory, Tool.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.TireTube: displaycategory, Tool.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.BoatPropeller: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.ManualStarter: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.Sails: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.NotRemovableBoatSeat1: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.NotRemovableBoatSeat2: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.NotRemovableBoatSeat3: displaycategory, Mech.
[13-10-24 01:12:32.622] LOG  : General     , 1728774752622> 0> Aquatsar.AirBagNormal1: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Aquatsar.AirBagNormal2: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Aquatsar.AirBagNormal3: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Aquatsar.BoatMag: displaycategory, LitR.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Aquatsar.SwimMag: displaycategory, LitR.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.BoatAnchor: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.SailingYachtName_Sakharov_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.SailingYachtName_La_Brigandine_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.SailingYachtName_Default_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.BoatMotorName_NP_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.BoatMotorName_Orianna_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.BoatMotorName_Default_Item: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.partBoatSailingYacht: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Base.partBoatMotor: displaycategory, Mech.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Autotsar.AtTuningMagBus: displaycategory, LitR.
[13-10-24 01:12:32.623] LOG  : General     , 1728774752623> 0> Autotsar.ATATuningFordMustang: displaycategory, LitR.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMustangHood2Item3: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMustangHood3Item3: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMustangHood4Item3: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.AtTuningMagJeep: displaycategory, LitR.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAJeepBumper1Item: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAJeepBumper2Item: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAJeepBumper3Item: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAJeepRoofTentItem: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAJeepSnorkelItem: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBagBMW1: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBagBMW2: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWCustomMuffler: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWClassicMuffler: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWOldTire: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWNormalTire: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWModernTire: displaycategory, Mech.
[13-10-24 01:12:32.624] LOG  : General     , 1728774752624> 0> Autotsar.ATAMotoBMWGasTank: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoBMWSeat: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoBMWSeatCustom: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyBag: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyMuffler: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyOldTire: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyNormalTire: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyModernTire: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyGasTank: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleyHolster: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoHarleySeat: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.ATAMotoQuadSeat: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.TrailerFirstTrunk: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Autotsar.TrailerSecondTrunk: displaycategory, Mech.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> Base.TsarEarthing: displaycategory, Elec.
[13-10-24 01:12:32.625] LOG  : General     , 1728774752625> 0> TAD.CloseKosmotsars: displaycategory, FoodN.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_African_Noodle_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_African_Rainbow_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Arms_Hip_Hop_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Arm_Push_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Arm_Wave_One_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Around_The_World_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Bboy_Hip_Hop_One_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Bboy_Hip_Hop_Three_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Bboy_Hip_Hop_Two_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Body_Wave_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Booty_Step_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Breakdance_Brooklyn_Uprock_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Cabbage_Patch_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Can_Can_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Chicken_Mag: displaycategory, LitR.
[13-10-24 01:12:32.626] LOG  : General     , 1728774752626> 0> TAD.BobTA_Crazy_Legs_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Defile_De_Samba_Parade_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Hokey_Pokey_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Kick_Step_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Macarena_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Maraschino_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_MoonWalk_One_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Northern_Soul_Spin_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Northern_Soul_Spin_On_Floor_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Raise_The_Roof_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Really_Twirl_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Rib_Pops_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Rockette_Kick_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Rumba_Dancing_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Running_Man_One_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Running_Man_Three_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Running_Man_Two_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Salsa_Mag: displaycategory, LitR.
[13-10-24 01:12:32.627] LOG  : General     , 1728774752627> 0> TAD.BobTA_Salsa_Double_Twirl_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Salsa_Double_Twirl_and_Clap_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Salsa_Side_to_Side_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Shimmy_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Shim_Sham_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Shuffling_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Side_to_Side_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Twist_One_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Twist_Two_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Uprock_Indian_Step_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_YMCA_Mag: displaycategory, LitR.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Afoxe_Samba_Raggae_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Belly_Dancing_One_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Belly_Dancing_Three_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Belly_Dancing_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Boogaloo_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Breakdance_1990_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Breakdance_Freezes_Combo_card: displaycategory, Collect.
[13-10-24 01:12:32.628] LOG  : General     , 1728774752628> 0> TAD.BobTA_Charleston_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Gandy_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_House_Dancing_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Locking_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Moonwalk_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Northern_Soul_Spin_and_Floor_Work_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Northern_Soul_Spin_Dip_and_Splits_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Rick_Dancing_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Robot_One_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Robot_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Salsa_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Samba_Olodum_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Samba_Pagode_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Slide_Step_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Snake_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Thriller_Four_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Thriller_One_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Thriller_Three_card: displaycategory, Collect.
[13-10-24 01:12:32.629] LOG  : General     , 1728774752629> 0> TAD.BobTA_Thriller_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> TAD.BobTA_Tut_One_card: displaycategory, Collect.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> TAD.BobTA_Tut_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> TAD.BobTA_Wave_One_card: displaycategory, Collect.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> TAD.BobTA_Wave_Two_card: displaycategory, Collect.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Tsarcraft.TCBoombox: displaycategory, Elec.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Tsarcraft.TCVinylplayer: displaycategory, Elec.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Tsarcraft.TCWalkman: displaycategory, Elec.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA150Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA200Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA250Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA300Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA400Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA500Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA600Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA700Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA800Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA900Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA1000Trunk: displaycategory, Mech.
[13-10-24 01:12:32.630] LOG  : General     , 1728774752630> 0> Base.ATA1100Trunk: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA1200Trunk: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA150Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA200Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA250Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA300Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA400Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA500Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA600Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA700Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA800Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA900Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA1000Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA1100Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA1200Trunk1: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA150Trunk2: displaycategory, Mech.
[13-10-24 01:12:32.631] LOG  : General     , 1728774752631> 0> Base.ATA200Trunk2: displaycategory, Mech.
