[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FAHotDrinkTeaRed: DisplayCategory, FoodN.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FABeerMugSwillerLiteBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FAPopBottleCarbonatedWater: DisplayCategory, FoodN.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FAHotDrinkEspressoWhite: DisplayCategory, FoodN.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadPigeon: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMAnimalTracks: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadSkunk: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMAnimalTracksLarge: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMAnimalTraces: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadFox: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadDuck: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadWildpig: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadSquirrel: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> HuntingMod.HMDeadQuail: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadBeaver: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadBear: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadRabbit: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadTurkey: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadRaccoon: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadGoose: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadElk: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadDeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> HuntingMod.HMDeadOpossum: DisplayCategory, FoodP.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.ManualRemote: DisplayCategory, LitR.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.ManualANoisemakerV2: DisplayCategory, LitR.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.ManualANoisemakerV1: DisplayCategory, LitR.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.AdvancedNoiseMakerV2: DisplayCategory, WepBomb.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.AdvancedNoiseMakerV3: DisplayCategory, WepBomb.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV2: DisplayCategory, WepBomb.
[23-09-24 13:53:30.204] LOG  : General     , 1727092410204> 0> LWBetterElectronics.AdvancedNoiseMakerV1: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV3: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV1: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.Happymix: DisplayCategory, FoodN.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.Otternoses: DisplayCategory, FoodN.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.RemoteDoormotor: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.YeenBeans: DisplayCategory, FoodN.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.RadioUpgradeMag3: DisplayCategory, LitR.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.RadioUpgradeMag2: DisplayCategory, LitR.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.ManualTV: DisplayCategory, LitR.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.CircuitDiagramHamRadio: DisplayCategory, LitW.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.RadioUpgradeMag1: DisplayCategory, LitR.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.ElectronicsDismantleMagazine: DisplayCategory, LitR.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.CircuitDiagramWalkieTalkie: DisplayCategory, LitW.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV2: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV3: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV1: DisplayCategory, WepBomb.
[23-09-24 13:53:30.205] LOG  : General     , 1727092410205> 0> LWBetterElectronics.CircuitDiagramRadio: DisplayCategory, LitW.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410205> 0> LWBetterElectronics.CircuitDiagramAmplifier: DisplayCategory, LitW.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> LWBetterElectronics.ManualMotionSensor: DisplayCategory, LitR.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.TheSniperGuide: DisplayCategory, LitS.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.TheUltimateHuntingGuide1: DisplayCategory, LitS.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.TheUltimateHuntingGuide2: DisplayCategory, LitS.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.WeaponHandlersReloaded: DisplayCategory, LitS.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.DoomsdayPreppers2: DisplayCategory, LitR.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> KCMweapons.DoomsdayPreppers1: DisplayCategory, LitR.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> MREM.MRE: DisplayCategory, FoodN.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> OccupationsExpertises.BookNimble3: DisplayCategory, LitS.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> OccupationsExpertises.BerryMash: DisplayCategory, FoodP.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> OccupationsExpertises.MushroomMash: DisplayCategory, FoodP.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> RuggedRecipes.DriedPear: DisplayCategory, FoodP.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> RuggedRecipes.PreppedTater: DisplayCategory, FoodP.
[23-09-24 13:53:30.206] LOG  : General     , 1727092410206> 0> RuggedRecipes.FermentingKentuckyKimchi: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.ReadyBerryWine: DisplayCategory, FoodN.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.FermentedKentuckyKimchi: DisplayCategory, FoodN.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.UndriedSmokedFish: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[23-09-24 13:53:30.207] LOG  : General     , 1727092410207> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[23-09-24 13:53:30.208] LOG  : General     , 1727092410208> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[23-09-24 13:53:30.209] LOG  : General     , 1727092410209> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.Pot_CheesePreparation: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.SaucepanwithMeltedWhiteChocolate: DisplayCategory, FoodN.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.Wooden_CheeseMolds_Water: DisplayCategory, FoodB.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.Wooden_CheeseMoldsCurds: DisplayCategory, Container.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.WoodenSkewersInsect: DisplayCategory, FoodN.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.VodkaWaterFull: DisplayCategory, FoodB.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.BakingTray_Gingerbread_Man: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.PipingBag_Icing: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.SaucepanWhiteChocolate: DisplayCategory, FoodP.
[23-09-24 13:53:30.210] LOG  : General     , 1727092410210> 0> SapphCooking.PlateFancy_HuevosRancherosEvolved: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.CakeSlice_Carrot: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.Cured_EggYolk: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.CakeSlice_BlackForest: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.WoodenSkewersMarshmallows: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.Bowl_Sorbet: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.Bucket_CheeseCurds: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.PopBottlewithProteinShake: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.HomemadeSauce_Evolved: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.PlateBlue_HuevosRancherosEvolved: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.BowlShavedIce: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.RumWaterFull: DisplayCategory, FoodB.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.CakeSlice_Birthday: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.BowlShavedIceEvolved: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.PipingBag_PastryCream: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.CakeSlice_Chocolate: DisplayCategory, FoodP.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.InstantNoodles_Beef: DisplayCategory, FoodN.
[23-09-24 13:53:30.211] LOG  : General     , 1727092410211> 0> SapphCooking.FullWaterThermos: DisplayCategory, FoodB.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.CakeSlice_RedVelvet: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.TequilaEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.LiqueurEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.SaucepanHotChocolate: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.Pot_Cheese: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.CrackersEvolved: DisplayCategory, FoodN.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.SaucepanwithArborioRice: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.ArrozConLecheBowl: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.BananaBread_Dough: DisplayCategory, FoodN.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.WoodenSkewersMarshmallows_Melted: DisplayCategory, FoodN.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.Wooden_CheeseMoldsBlue: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.VodkaEmpty: DisplayCategory, Container.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.BakingTray_Eclair: DisplayCategory, FoodP.
[23-09-24 13:53:30.212] LOG  : General     , 1727092410212> 0> SapphCooking.PlateOrange_HuevosRancherosEvolved: DisplayCategory, FoodP.
